was_die_roll,sent_message,message_received,system_time,logical_clock_time,length_of_queue
1,0,0,1677884166,0,0
0,0,1,1677884166,1,0
1,0,0,1677884166,2,0
1,0,0,1677884167,3,0
0,0,1,1677884167,4,0
1,0,0,1677884167,5,0
1,0,0,1677884167,6,0
1,0,0,1677884167,7,0
0,0,1,1677884168,8,0
1,0,0,1677884168,10,0
1,0,0,1677884168,11,0
0,0,1,1677884168,12,0
1,0,0,1677884168,14,0
1,0,0,1677884169,15,0
0,0,1,1677884169,16,0
1,0,0,1677884169,17,0
1,0,0,1677884169,18,0
1,0,0,1677884169,19,0
1,1,0,1677884170,20,0
1,0,0,1677884170,21,0
1,0,0,1677884170,22,0
1,0,0,1677884170,23,0
1,0,0,1677884170,24,0
1,0,0,1677884171,25,0
0,0,1,1677884171,26,1
0,0,1,1677884171,29,0
0,0,1,1677884171,30,0
0,0,1,1677884171,32,0
1,1,0,1677884172,33,0
1,0,0,1677884172,34,0
1,1,0,1677884172,35,0
0,0,1,1677884172,36,0
1,0,0,1677884172,38,0
1,0,0,1677884173,39,0
1,0,0,1677884173,40,0
1,0,0,1677884173,41,0
0,0,1,1677884173,42,0
1,1,0,1677884173,43,0
1,1,0,1677884174,44,0
1,0,0,1677884174,45,0
1,1,0,1677884174,46,0
1,0,0,1677884174,47,0
1,0,0,1677884174,48,0
0,0,1,1677884175,49,0
1,1,0,1677884175,50,0
1,0,0,1677884175,51,0
1,0,0,1677884175,52,0
1,0,0,1677884175,53,0
1,0,0,1677884176,54,0
1,1,0,1677884176,55,0
1,1,0,1677884176,56,0
1,1,0,1677884176,57,0
1,1,0,1677884176,58,0
1,1,0,1677884177,59,0
1,0,0,1677884177,60,0
1,1,0,1677884177,61,0
1,0,0,1677884177,62,0
1,0,0,1677884177,63,0
1,0,0,1677884178,64,0
1,0,0,1677884178,65,0
1,1,0,1677884178,66,0
1,0,0,1677884178,67,0
1,0,0,1677884178,68,0
0,0,1,1677884179,69,0
1,0,0,1677884179,76,0
1,1,0,1677884179,77,0
1,0,0,1677884179,78,0
0,0,1,1677884179,79,0
1,0,0,1677884180,80,0
1,0,0,1677884180,81,0
0,0,1,1677884180,82,0
1,1,0,1677884180,85,0
1,0,0,1677884180,86,0
1,0,0,1677884181,87,0
1,1,0,1677884181,88,0
1,1,0,1677884181,89,0
1,1,0,1677884181,90,0
1,0,0,1677884181,91,0
0,0,1,1677884182,92,0
1,0,0,1677884182,94,0
1,0,0,1677884182,95,0
1,1,0,1677884182,96,0
1,0,0,1677884182,97,0
1,0,0,1677884183,98,0
1,0,0,1677884183,99,0
0,0,1,1677884183,100,0
1,0,0,1677884183,102,0
1,1,0,1677884183,103,0
1,0,0,1677884184,104,0
1,0,0,1677884184,105,0
1,1,0,1677884184,106,0
1,0,0,1677884184,107,0
1,0,0,1677884184,108,0
1,0,0,1677884185,109,0
0,0,1,1677884185,110,1
0,0,1,1677884185,113,2
0,0,1,1677884185,114,1
0,0,1,1677884185,115,0
1,1,0,1677884186,116,0
1,0,0,1677884186,117,0
1,0,0,1677884186,118,0
0,0,1,1677884186,119,0
1,0,0,1677884186,120,0
1,0,0,1677884187,121,0
1,0,0,1677884187,122,0
1,0,0,1677884187,123,0
1,0,0,1677884187,124,0
0,0,1,1677884187,125,0
