was_die_roll, sent_message, message_received, system_time, logical_clock_time, length_of_queue
1, 0, 0, Fri Mar  3 16:31:47 2023, 0, 0
1, 1, 0, Fri Mar  3 16:31:48 2023, 1, 0
0, 0, 1, Fri Mar  3 16:31:48 2023, 2, 0
1, 0, 0, Fri Mar  3 16:31:48 2023, 3, 0
1, 0, 0, Fri Mar  3 16:31:48 2023, 4, 0
1, 0, 0, Fri Mar  3 16:31:48 2023, 5, 0
1, 1, 0, Fri Mar  3 16:31:48 2023, 6, 0
1, 0, 0, Fri Mar  3 16:31:49 2023, 7, 0
0, 0, 1, Fri Mar  3 16:31:49 2023, 8, 0
1, 1, 0, Fri Mar  3 16:31:49 2023, 9, 0
1, 0, 0, Fri Mar  3 16:31:49 2023, 10, 0
1, 0, 0, Fri Mar  3 16:31:49 2023, 11, 0
1, 0, 0, Fri Mar  3 16:31:49 2023, 12, 0
1, 0, 0, Fri Mar  3 16:31:50 2023, 13, 0
0, 0, 1, Fri Mar  3 16:31:50 2023, 14, 0
1, 1, 0, Fri Mar  3 16:31:50 2023, 15, 0
1, 0, 0, Fri Mar  3 16:31:50 2023, 16, 0
1, 0, 0, Fri Mar  3 16:31:50 2023, 17, 0
1, 0, 0, Fri Mar  3 16:31:50 2023, 18, 0
1, 0, 0, Fri Mar  3 16:31:51 2023, 19, 0
0, 0, 1, Fri Mar  3 16:31:51 2023, 20, 0
1, 0, 0, Fri Mar  3 16:31:51 2023, 21, 0
1, 0, 0, Fri Mar  3 16:31:51 2023, 22, 0
1, 0, 0, Fri Mar  3 16:31:51 2023, 23, 0
1, 0, 0, Fri Mar  3 16:31:51 2023, 24, 0
1, 1, 0, Fri Mar  3 16:31:52 2023, 25, 0
1, 0, 0, Fri Mar  3 16:31:52 2023, 26, 0
1, 1, 0, Fri Mar  3 16:31:52 2023, 27, 0
1, 0, 0, Fri Mar  3 16:31:52 2023, 28, 0
1, 0, 0, Fri Mar  3 16:31:52 2023, 29, 0
1, 0, 0, Fri Mar  3 16:31:52 2023, 30, 0
1, 1, 0, Fri Mar  3 16:31:53 2023, 31, 0
1, 1, 0, Fri Mar  3 16:31:53 2023, 32, 0
1, 0, 0, Fri Mar  3 16:31:53 2023, 33, 0
1, 0, 0, Fri Mar  3 16:31:53 2023, 34, 0
1, 0, 0, Fri Mar  3 16:31:53 2023, 35, 0
1, 0, 0, Fri Mar  3 16:31:53 2023, 36, 0
1, 0, 0, Fri Mar  3 16:31:54 2023, 37, 0
0, 0, 1, Fri Mar  3 16:31:54 2023, 38, 0
1, 0, 0, Fri Mar  3 16:31:54 2023, 39, 0
1, 1, 0, Fri Mar  3 16:31:54 2023, 40, 0
1, 0, 0, Fri Mar  3 16:31:54 2023, 41, 0
1, 0, 0, Fri Mar  3 16:31:55 2023, 42, 0
1, 0, 0, Fri Mar  3 16:31:55 2023, 43, 0
1, 0, 0, Fri Mar  3 16:31:55 2023, 44, 0
1, 1, 0, Fri Mar  3 16:31:55 2023, 45, 0
1, 0, 0, Fri Mar  3 16:31:55 2023, 46, 0
1, 1, 0, Fri Mar  3 16:31:55 2023, 47, 0
1, 0, 0, Fri Mar  3 16:31:56 2023, 48, 0
1, 0, 0, Fri Mar  3 16:31:56 2023, 49, 0
1, 0, 0, Fri Mar  3 16:31:56 2023, 50, 0
1, 1, 0, Fri Mar  3 16:31:56 2023, 51, 0
1, 0, 0, Fri Mar  3 16:31:56 2023, 52, 0
1, 0, 0, Fri Mar  3 16:31:56 2023, 53, 0
1, 0, 0, Fri Mar  3 16:31:57 2023, 54, 0
1, 1, 0, Fri Mar  3 16:31:57 2023, 55, 0
1, 0, 0, Fri Mar  3 16:31:57 2023, 56, 0
1, 0, 0, Fri Mar  3 16:31:57 2023, 57, 0
1, 0, 0, Fri Mar  3 16:31:57 2023, 58, 0
1, 0, 0, Fri Mar  3 16:31:57 2023, 59, 0
1, 0, 0, Fri Mar  3 16:31:58 2023, 60, 0
1, 0, 0, Fri Mar  3 16:31:58 2023, 61, 0
1, 0, 0, Fri Mar  3 16:31:58 2023, 62, 0
1, 0, 0, Fri Mar  3 16:31:58 2023, 63, 0
1, 0, 0, Fri Mar  3 16:31:58 2023, 64, 0
1, 0, 0, Fri Mar  3 16:31:58 2023, 65, 0
1, 0, 0, Fri Mar  3 16:31:59 2023, 66, 0
1, 0, 0, Fri Mar  3 16:31:59 2023, 67, 0
1, 0, 0, Fri Mar  3 16:31:59 2023, 68, 0
1, 0, 0, Fri Mar  3 16:31:59 2023, 69, 0
1, 1, 0, Fri Mar  3 16:31:59 2023, 70, 0
1, 1, 0, Fri Mar  3 16:31:59 2023, 71, 0
1, 0, 0, Fri Mar  3 16:32:00 2023, 72, 0
1, 0, 0, Fri Mar  3 16:32:00 2023, 73, 0
1, 0, 0, Fri Mar  3 16:32:00 2023, 74, 0
1, 0, 0, Fri Mar  3 16:32:00 2023, 75, 0
1, 0, 0, Fri Mar  3 16:32:00 2023, 76, 0
1, 1, 0, Fri Mar  3 16:32:00 2023, 77, 0
1, 0, 0, Fri Mar  3 16:32:01 2023, 78, 0
0, 0, 1, Fri Mar  3 16:32:01 2023, 79, 0
1, 0, 0, Fri Mar  3 16:32:01 2023, 80, 0
1, 0, 0, Fri Mar  3 16:32:01 2023, 81, 0
1, 0, 0, Fri Mar  3 16:32:01 2023, 82, 0
1, 0, 0, Fri Mar  3 16:32:01 2023, 83, 0
1, 0, 0, Fri Mar  3 16:32:02 2023, 84, 0
0, 0, 1, Fri Mar  3 16:32:02 2023, 85, 0
1, 0, 0, Fri Mar  3 16:32:02 2023, 86, 0
1, 0, 0, Fri Mar  3 16:32:02 2023, 87, 0
1, 1, 0, Fri Mar  3 16:32:02 2023, 88, 0
1, 0, 0, Fri Mar  3 16:32:02 2023, 89, 0
1, 0, 0, Fri Mar  3 16:32:03 2023, 90, 0
1, 1, 0, Fri Mar  3 16:32:03 2023, 91, 0
1, 1, 0, Fri Mar  3 16:32:03 2023, 92, 0
1, 0, 0, Fri Mar  3 16:32:03 2023, 93, 0
1, 0, 0, Fri Mar  3 16:32:03 2023, 94, 0
1, 0, 0, Fri Mar  3 16:32:04 2023, 95, 0
1, 0, 0, Fri Mar  3 16:32:04 2023, 96, 0
1, 0, 0, Fri Mar  3 16:32:04 2023, 97, 0
1, 1, 0, Fri Mar  3 16:32:04 2023, 98, 0
1, 0, 0, Fri Mar  3 16:32:04 2023, 99, 0
0, 0, 1, Fri Mar  3 16:32:04 2023, 100, 0
1, 1, 0, Fri Mar  3 16:32:05 2023, 101, 0
1, 0, 0, Fri Mar  3 16:32:05 2023, 102, 0
1, 1, 0, Fri Mar  3 16:32:05 2023, 103, 0
1, 1, 0, Fri Mar  3 16:32:05 2023, 104, 0
1, 0, 0, Fri Mar  3 16:32:05 2023, 105, 0
1, 1, 0, Fri Mar  3 16:32:05 2023, 106, 0
1, 0, 0, Fri Mar  3 16:32:06 2023, 107, 0
1, 1, 0, Fri Mar  3 16:32:06 2023, 108, 0
1, 1, 0, Fri Mar  3 16:32:06 2023, 109, 0
1, 1, 0, Fri Mar  3 16:32:06 2023, 110, 0
1, 1, 0, Fri Mar  3 16:32:06 2023, 111, 0
1, 1, 0, Fri Mar  3 16:32:06 2023, 112, 0
1, 0, 0, Fri Mar  3 16:32:07 2023, 113, 0
1, 0, 0, Fri Mar  3 16:32:07 2023, 114, 0
1, 0, 0, Fri Mar  3 16:32:07 2023, 115, 0
1, 1, 0, Fri Mar  3 16:32:07 2023, 116, 0
1, 1, 0, Fri Mar  3 16:32:07 2023, 117, 0
1, 0, 0, Fri Mar  3 16:32:07 2023, 118, 0
1, 0, 0, Fri Mar  3 16:32:08 2023, 119, 0
1, 0, 0, Fri Mar  3 16:32:08 2023, 120, 0
1, 1, 0, Fri Mar  3 16:32:08 2023, 121, 0
1, 0, 0, Fri Mar  3 16:32:08 2023, 122, 0
1, 0, 0, Fri Mar  3 16:32:08 2023, 123, 0
