was_die_roll,sent_message,message_received,system_time,logical_clock_time,length_of_queue
1,0,0,1678043514,0,0
0,0,1,1678043514,1,1
1,0,0,1678043515,2,0
1,1,0,1678043515,3,0
1,0,0,1678043515,4,0
1,1,0,1678043515,5,0
1,0,0,1678043515,6,0
1,0,0,1678043515,7,0
0,0,1,1678043516,8,1
0,0,1,1678043516,9,1
1,1,0,1678043516,10,0
1,1,0,1678043516,11,0
1,1,0,1678043516,12,0
1,0,0,1678043516,13,0
1,1,0,1678043517,14,0
1,0,0,1678043517,15,0
1,0,0,1678043517,16,0
0,0,1,1678043517,17,1
0,0,1,1678043517,18,1
1,1,0,1678043517,19,0
1,1,0,1678043518,20,0
1,1,0,1678043518,21,0
1,0,0,1678043518,22,0
1,0,0,1678043518,23,0
0,0,1,1678043518,24,1
1,0,0,1678043518,25,0
0,0,1,1678043519,26,1
0,0,1,1678043519,27,1
0,0,1,1678043519,28,1
1,0,0,1678043519,29,0
1,1,0,1678043519,30,0
1,0,0,1678043519,31,0
1,0,0,1678043520,32,0
1,0,0,1678043520,33,0
0,0,1,1678043520,34,2
0,0,1,1678043520,35,1
1,0,0,1678043520,36,0
1,0,0,1678043520,37,0
0,0,1,1678043521,38,1
1,0,0,1678043521,39,0
1,1,0,1678043521,40,0
1,0,0,1678043521,41,0
0,0,1,1678043521,42,1
1,0,0,1678043521,43,0
0,0,1,1678043522,44,1
1,0,0,1678043522,45,0
1,0,0,1678043522,46,0
1,0,0,1678043522,47,0
1,0,0,1678043522,48,0
1,0,0,1678043522,49,0
0,0,1,1678043523,50,1
1,0,0,1678043523,51,0
0,0,1,1678043523,52,1
1,1,0,1678043523,53,0
0,0,1,1678043523,54,1
1,0,0,1678043523,55,0
0,0,1,1678043524,56,1
1,1,0,1678043524,57,0
1,1,0,1678043524,58,0
1,1,0,1678043524,59,0
0,0,1,1678043524,60,1
1,0,0,1678043525,61,0
0,0,1,1678043525,62,1
1,0,0,1678043525,63,0
0,0,1,1678043525,64,1
0,0,1,1678043525,65,1
1,0,0,1678043525,66,0
1,0,0,1678043526,67,0
0,0,1,1678043526,68,1
1,0,0,1678043526,69,0
0,0,1,1678043526,70,1
1,0,0,1678043526,71,0
0,0,1,1678043526,72,1
1,0,0,1678043527,73,0
0,0,1,1678043527,74,1
1,0,0,1678043527,75,0
1,1,0,1678043527,76,0
1,0,0,1678043527,77,0
1,0,0,1678043527,78,0
1,1,0,1678043528,79,0
1,0,0,1678043528,80,0
1,0,0,1678043528,81,0
1,0,0,1678043528,82,0
1,1,0,1678043528,83,0
0,0,1,1678043528,84,1
1,1,0,1678043529,85,0
0,0,1,1678043529,86,1
1,0,0,1678043529,87,0
1,0,0,1678043529,88,0
0,0,1,1678043529,89,1
0,0,1,1678043529,90,1
0,0,1,1678043530,91,1
0,0,1,1678043530,92,1
1,0,0,1678043530,93,0
1,0,0,1678043530,94,0
1,0,0,1678043530,95,0
0,0,1,1678043530,96,1
0,0,1,1678043531,97,1
0,0,1,1678043531,98,1
1,0,0,1678043531,99,0
0,0,1,1678043531,100,1
0,0,1,1678043531,101,1
1,0,0,1678043531,102,0
1,0,0,1678043532,103,0
1,0,0,1678043532,104,0
1,1,0,1678043532,105,0
1,0,0,1678043532,106,0
0,0,1,1678043532,107,1
1,0,0,1678043533,108,0
1,0,0,1678043533,109,0
1,0,0,1678043533,110,0
1,1,0,1678043533,111,0
0,0,1,1678043533,112,2
0,0,1,1678043533,113,2
0,0,1,1678043534,114,1
1,0,0,1678043534,115,0
1,0,0,1678043534,116,0
1,0,0,1678043534,117,0
1,0,0,1678043534,118,0
0,0,1,1678043534,119,1
1,0,0,1678043535,120,0
0,0,1,1678043535,121,1
1,0,0,1678043535,122,0
