was_die_roll,sent_message,message_received,system_time,logical_clock_time,length_of_queue
1,1,0,1677882074,0,0
0,0,1,1677882075,1,0
0,0,1,1677882075,2,0
1,0,0,1677882076,7,0
1,0,0,1677882076,8,0
0,0,1,1677882077,9,1
0,0,1,1677882077,16,2
0,0,1,1677882078,17,1
0,0,1,1677882078,19,0
0,0,1,1677882079,20,0
1,1,0,1677882079,23,0
1,1,0,1677882080,24,0
1,0,0,1677882080,25,0
0,0,1,1677882081,26,1
0,0,1,1677882081,39,0
1,1,0,1677882082,40,0
1,0,0,1677882082,41,0
0,0,1,1677882083,42,0
0,0,1,1677882083,43,1
0,0,1,1677882084,44,2
0,0,1,1677882084,56,2
0,0,1,1677882085,57,1
0,0,1,1677882085,58,0
1,0,0,1677882086,60,0
1,0,0,1677882086,61,0
1,0,0,1677882087,62,0
0,0,1,1677882087,63,1
0,0,1,1677882088,72,0
1,0,0,1677882088,80,0
1,0,0,1677882089,81,0
1,0,0,1677882089,82,0
0,0,1,1677882090,83,0
1,0,0,1677882090,95,0
1,1,0,1677882091,96,0
0,0,1,1677882091,97,0
1,1,0,1677882092,103,0
1,0,0,1677882092,104,0
1,1,0,1677882093,105,0
1,1,0,1677882093,106,0
1,1,0,1677882094,107,0
0,0,1,1677882094,108,0
0,0,1,1677882095,121,0
0,0,1,1677882095,125,0
1,0,0,1677882096,128,0
0,0,1,1677882096,129,0
0,0,1,1677882097,133,0
0,0,1,1677882097,135,0
0,0,1,1677882098,140,1
0,0,1,1677882098,141,0
0,0,1,1677882099,143,1
0,0,1,1677882099,147,0
1,0,0,1677882100,148,0
0,0,1,1677882100,149,1
0,0,1,1677882101,156,0
0,0,1,1677882101,157,0
1,0,0,1677882102,164,0
0,0,1,1677882102,165,1
0,0,1,1677882103,168,1
0,0,1,1677882103,169,1
0,0,1,1677882104,173,0
1,0,0,1677882104,176,0
0,0,1,1677882105,177,0
1,1,0,1677882105,179,0
0,0,1,1677882106,180,0
1,1,0,1677882106,191,0
1,0,0,1677882107,192,0
0,0,1,1677882107,193,0
1,1,0,1677882108,200,0
1,0,0,1677882108,201,0
1,1,0,1677882109,202,0
1,0,0,1677882109,203,0
1,0,0,1677882110,204,0
0,0,1,1677882110,205,0
1,1,0,1677882111,217,0
1,0,0,1677882111,218,0
0,0,1,1677882112,219,0
1,0,0,1677882112,227,0
1,1,0,1677882113,228,0
1,1,0,1677882113,229,0
1,1,0,1677882114,230,0
1,0,0,1677882114,231,0
1,0,0,1677882115,232,0
1,0,0,1677882115,233,0
1,1,0,1677882116,234,0
0,0,1,1677882116,235,0
0,0,1,1677882117,252,2
0,0,1,1677882117,255,1
0,0,1,1677882118,256,1
0,0,1,1677882118,257,0
1,0,0,1677882119,262,0
1,0,0,1677882119,263,0
0,0,1,1677882120,264,0
1,1,0,1677882120,275,0
0,0,1,1677882121,276,1
0,0,1,1677882121,279,1
0,0,1,1677882122,281,0
0,0,1,1677882122,283,0
1,0,0,1677882123,289,0
0,0,1,1677882123,290,0
1,0,0,1677882124,294,0
1,0,0,1677882124,295,0
1,1,0,1677882125,296,0
1,0,0,1677882125,297,0
1,0,0,1677882126,298,0
1,0,0,1677882126,299,0
1,0,0,1677882127,300,0
0,0,1,1677882127,301,0
1,1,0,1677882128,318,0
1,1,0,1677882128,319,0
0,0,1,1677882129,320,1
0,0,1,1677882129,328,0
0,0,1,1677882130,329,0
0,0,1,1677882130,335,0
0,0,1,1677882131,338,0
0,0,1,1677882131,340,0
0,0,1,1677882132,343,0
0,0,1,1677882132,346,0
0,0,1,1677882133,348,1
0,0,1,1677882133,351,1
0,0,1,1677882134,353,0
