was_die_roll,sent_message,message_received,system_time,logical_clock_time,length_of_queue
0,0,1,1677955382,0,0
1,1,0,1677955382,1,0
0,0,1,1677955383,2,0
1,0,0,1677955383,3,0
0,0,1,1677955383,4,1
0,0,1,1677955383,5,0
1,1,0,1677955383,6,0
1,0,0,1677955384,7,0
0,0,1,1677955384,8,0
0,0,1,1677955384,10,0
0,0,1,1677955384,11,1
0,0,1,1677955384,12,0
0,0,1,1677955385,13,1
0,0,1,1677955385,15,2
0,0,1,1677955385,16,1
0,0,1,1677955385,17,1
0,0,1,1677955385,18,1
0,0,1,1677955386,19,0
0,0,1,1677955386,20,1
0,0,1,1677955386,22,0
1,1,0,1677955386,23,0
1,1,0,1677955386,24,0
1,1,0,1677955387,25,0
1,0,0,1677955387,26,0
1,0,0,1677955387,27,0
0,0,1,1677955387,28,0
1,0,0,1677955388,31,0
1,1,0,1677955388,32,0
1,0,0,1677955388,33,0
0,0,1,1677955388,34,0
0,0,1,1677955388,35,0
1,0,0,1677955389,36,0
1,1,0,1677955389,37,0
1,0,0,1677955389,38,0
1,0,0,1677955389,39,0
0,0,1,1677955389,40,0
1,1,0,1677955390,42,0
1,1,0,1677955390,43,0
1,1,0,1677955390,44,0
1,1,0,1677955390,45,0
1,1,0,1677955390,46,0
0,0,1,1677955391,47,0
0,0,1,1677955391,49,0
1,1,0,1677955391,51,0
1,0,0,1677955391,52,0
0,0,1,1677955391,53,0
1,1,0,1677955392,54,0
1,1,0,1677955392,55,0
1,1,0,1677955392,56,0
0,0,1,1677955392,57,0
0,0,1,1677955392,59,0
0,0,1,1677955393,60,0
0,0,1,1677955393,61,0
1,1,0,1677955393,63,0
1,0,0,1677955393,64,0
1,0,0,1677955393,65,0
0,0,1,1677955394,66,0
0,0,1,1677955394,67,1
0,0,1,1677955394,68,0
0,0,1,1677955394,69,0
1,1,0,1677955394,71,0
1,0,0,1677955395,72,0
0,0,1,1677955395,73,0
1,1,0,1677955395,74,0
0,0,1,1677955395,75,0
1,0,0,1677955395,77,0
1,1,0,1677955396,78,0
0,0,1,1677955396,79,0
1,1,0,1677955396,80,0
1,0,0,1677955396,81,0
0,0,1,1677955396,82,0
0,0,1,1677955397,84,0
0,0,1,1677955397,85,0
1,1,0,1677955397,87,0
1,0,0,1677955397,88,0
1,1,0,1677955397,89,0
1,0,0,1677955398,90,0
1,0,0,1677955398,91,0
0,0,1,1677955398,92,0
0,0,1,1677955398,93,0
0,0,1,1677955398,95,1
0,0,1,1677955399,96,0
1,1,0,1677955399,97,0
0,0,1,1677955399,98,0
0,0,1,1677955399,100,0
0,0,1,1677955399,101,0
0,0,1,1677955400,102,1
0,0,1,1677955400,103,1
0,0,1,1677955400,104,0
1,0,0,1677955400,105,0
1,1,0,1677955401,106,0
1,1,0,1677955401,107,0
1,1,0,1677955401,108,0
1,1,0,1677955401,109,0
0,0,1,1677955401,110,0
1,0,0,1677955402,113,0
0,0,1,1677955402,114,0
0,0,1,1677955402,115,0
0,0,1,1677955402,116,0
0,0,1,1677955402,117,0
0,0,1,1677955403,118,0
0,0,1,1677955403,120,0
0,0,1,1677955403,121,0
0,0,1,1677955403,122,1
0,0,1,1677955403,123,0
0,0,1,1677955404,124,0
1,0,0,1677955404,126,0
0,0,1,1677955404,127,0
0,0,1,1677955404,128,0
0,0,1,1677955404,129,1
0,0,1,1677955405,130,1
0,0,1,1677955405,131,0
1,1,0,1677955405,132,0
1,1,0,1677955405,133,0
1,1,0,1677955405,134,0
1,0,0,1677955406,135,0
1,1,0,1677955406,136,0
1,1,0,1677955406,137,0
1,1,0,1677955406,138,0
1,0,0,1677955406,139,0
0,0,1,1677955407,140,1
0,0,1,1677955407,143,1
0,0,1,1677955407,144,0
0,0,1,1677955407,145,0
0,0,1,1677955407,147,0
0,0,1,1677955408,148,0
1,1,0,1677955408,149,0
0,0,1,1677955408,150,0
1,0,0,1677955408,152,0
0,0,1,1677955408,153,0
0,0,1,1677955409,154,0
1,0,0,1677955409,155,0
0,0,1,1677955409,156,0
0,0,1,1677955409,158,0
0,0,1,1677955409,159,1
0,0,1,1677955410,160,0
0,0,1,1677955410,161,1
0,0,1,1677955410,162,1
0,0,1,1677955410,163,1
0,0,1,1677955410,164,1
0,0,1,1677955411,165,1
0,0,1,1677955411,166,0
1,0,0,1677955411,168,0
0,0,1,1677955411,169,1
0,0,1,1677955411,171,0
0,0,1,1677955412,172,0
0,0,1,1677955412,173,1
0,0,1,1677955412,175,1
0,0,1,1677955412,176,0
0,0,1,1677955412,177,0
1,1,0,1677955413,178,0
1,0,0,1677955413,179,0
1,1,0,1677955413,180,0
1,1,0,1677955413,181,0
1,0,0,1677955414,182,0
1,0,0,1677955414,183,0
0,0,1,1677955414,184,0
1,0,0,1677955414,187,0
1,1,0,1677955414,188,0
1,1,0,1677955415,189,0
1,1,0,1677955415,190,0
0,0,1,1677955415,191,1
0,0,1,1677955415,192,1
0,0,1,1677955415,193,0
0,0,1,1677955416,194,0
0,0,1,1677955416,196,1
0,0,1,1677955416,197,1
0,0,1,1677955416,198,1
0,0,1,1677955416,199,0
1,1,0,1677955417,200,0
1,0,0,1677955417,201,0
1,1,0,1677955417,202,0
1,1,0,1677955417,203,0
1,1,0,1677955417,204,0
1,1,0,1677955418,205,0
1,1,0,1677955418,206,0
1,0,0,1677955418,207,0
0,0,1,1677955418,208,1
0,0,1,1677955418,211,1
0,0,1,1677955419,212,1
0,0,1,1677955419,213,1
0,0,1,1677955419,214,1
0,0,1,1677955419,215,1
0,0,1,1677955419,216,1
0,0,1,1677955420,218,0
1,0,0,1677955420,219,0
1,0,0,1677955420,220,0
0,0,1,1677955420,221,1
0,0,1,1677955420,223,0
1,0,0,1677955421,224,0
1,0,0,1677955421,225,0
0,0,1,1677955421,226,0
0,0,1,1677955421,228,0
1,1,0,1677955421,229,0
1,0,0,1677955422,230,0
1,1,0,1677955422,231,0
0,0,1,1677955422,232,0
0,0,1,1677955422,234,0
0,0,1,1677955422,235,0
0,0,1,1677955423,236,0
1,1,0,1677955423,238,0
1,1,0,1677955423,239,0
1,1,0,1677955423,240,0
0,0,1,1677955423,241,0
1,0,0,1677955424,243,0
0,0,1,1677955424,244,0
1,1,0,1677955424,245,0
1,1,0,1677955424,246,0
0,0,1,1677955424,247,0
0,0,1,1677955425,248,1
0,0,1,1677955425,250,0
