was_die_roll,sent_message,message_received,system_time,logical_clock_time,length_of_queue
1,0,0,1677992643,0,0
0,0,1,1677992644,1,0
1,1,0,1677992644,5,0
1,0,0,1677992645,6,0
1,0,0,1677992645,7,0
1,0,0,1677992646,8,0
0,0,1,1677992646,9,0
1,0,0,1677992647,20,0
0,0,1,1677992647,21,0
0,0,1,1677992648,24,0
1,1,0,1677992648,28,0
0,0,1,1677992649,29,0
0,0,1,1677992649,35,0
1,0,0,1677992650,37,0
1,0,0,1677992650,38,0
0,0,1,1677992651,39,0
1,1,0,1677992651,47,0
0,0,1,1677992652,48,0
0,0,1,1677992652,52,0
0,0,1,1677992653,54,0
1,1,0,1677992653,58,0
1,0,0,1677992654,59,0
1,0,0,1677992654,60,0
0,0,1,1677992655,61,0
1,0,0,1677992655,70,0
0,0,1,1677992656,71,0
1,0,0,1677992656,75,0
1,0,0,1677992657,76,0
1,1,0,1677992657,77,0
1,0,0,1677992658,78,0
0,0,1,1677992658,79,1
0,0,1,1677992659,90,1
0,0,1,1677992659,91,0
0,0,1,1677992660,93,1
0,0,1,1677992660,98,1
0,0,1,1677992661,99,0
1,1,0,1677992661,102,0
0,0,1,1677992662,103,0
1,0,0,1677992662,111,0
1,0,0,1677992663,112,0
1,0,0,1677992663,113,0
0,0,1,1677992664,114,0
1,0,0,1677992664,122,0
0,0,1,1677992665,123,1
0,0,1,1677992665,129,1
0,0,1,1677992666,130,1
0,0,1,1677992666,131,1
0,0,1,1677992667,135,1
0,0,1,1677992667,136,0
0,0,1,1677992668,140,0
1,0,0,1677992668,147,0
0,0,1,1677992669,148,1
0,0,1,1677992669,151,1
0,0,1,1677992670,152,0
0,0,1,1677992670,155,0
1,0,0,1677992671,161,0
1,1,0,1677992671,162,0
1,1,0,1677992672,163,0
0,0,1,1677992672,164,0
0,0,1,1677992673,174,0
1,0,0,1677992673,175,0
1,0,0,1677992674,176,0
0,0,1,1677992674,177,0
1,1,0,1677992675,185,0
1,1,0,1677992675,186,0
1,0,0,1677992676,187,0
0,0,1,1677992676,188,0
0,0,1,1677992677,197,0
0,0,1,1677992677,199,0
0,0,1,1677992678,202,0
0,0,1,1677992678,205,0
1,0,0,1677992679,209,0
1,0,0,1677992679,210,0
0,0,1,1677992680,211,0
1,0,0,1677992680,217,0
1,0,0,1677992681,218,0
1,0,0,1677992682,219,0
0,0,1,1677992682,220,0
0,0,1,1677992683,229,1
0,0,1,1677992683,231,0
0,0,1,1677992684,233,0
0,0,1,1677992684,237,0
0,0,1,1677992685,242,1
0,0,1,1677992685,243,0
1,0,0,1677992686,244,0
1,0,0,1677992686,245,0
1,0,0,1677992687,246,0
1,0,0,1677992687,247,0
1,0,0,1677992688,248,0
1,0,0,1677992688,249,0
1,0,0,1677992689,250,0
0,0,1,1677992689,251,0
0,0,1,1677992690,270,0
1,0,0,1677992690,274,0
0,0,1,1677992691,275,0
0,0,1,1677992691,280,1
0,0,1,1677992692,281,1
0,0,1,1677992692,283,1
0,0,1,1677992693,286,0
0,0,1,1677992693,288,0
1,0,0,1677992694,293,0
0,0,1,1677992694,294,0
1,0,0,1677992695,301,0
0,0,1,1677992695,302,0
0,0,1,1677992696,305,1
0,0,1,1677992696,308,1
0,0,1,1677992697,310,0
0,0,1,1677992697,311,0
1,0,0,1677992698,319,0
1,0,0,1677992698,320,0
0,0,1,1677992699,321,0
1,1,0,1677992699,326,0
1,0,0,1677992700,327,0
1,1,0,1677992700,328,0
1,0,0,1677992701,329,0
0,0,1,1677992701,330,0
0,0,1,1677992702,343,1
0,0,1,1677992702,344,0
1,0,0,1677992703,346,0
1,1,0,1677992703,347,0
