was_die_roll,sent_message,message_received,system_time,logical_clock_time,length_of_queue
1,1,0,1677992054,0,0
1,1,0,1677992054,1,0
1,1,0,1677992054,2,0
1,1,0,1677992055,3,0
1,1,0,1677992055,4,0
1,1,0,1677992055,5,0
1,1,0,1677992055,6,0
1,1,0,1677992055,7,0
1,1,0,1677992055,8,0
1,0,0,1677992056,9,0
1,0,0,1677992056,10,0
1,1,0,1677992056,11,0
1,1,0,1677992056,12,0
1,0,0,1677992056,13,0
1,0,0,1677992056,14,0
1,0,0,1677992057,15,0
1,1,0,1677992057,16,0
1,0,0,1677992057,17,0
1,1,0,1677992057,18,0
1,0,0,1677992057,19,0
0,0,1,1677992057,20,0
1,0,0,1677992058,21,0
0,0,1,1677992058,22,0
1,1,0,1677992058,23,0
0,0,1,1677992058,24,0
0,0,1,1677992058,25,0
1,1,0,1677992058,26,0
1,1,0,1677992059,27,0
1,1,0,1677992059,28,0
1,1,0,1677992059,29,0
1,1,0,1677992059,30,0
1,1,0,1677992059,31,0
1,0,0,1677992059,32,0
1,1,0,1677992060,33,0
1,1,0,1677992060,34,0
1,1,0,1677992060,35,0
1,0,0,1677992060,36,0
1,1,0,1677992060,37,0
1,1,0,1677992060,38,0
1,1,0,1677992061,39,0
1,1,0,1677992061,40,0
1,0,0,1677992061,41,0
1,0,0,1677992061,42,0
1,1,0,1677992061,43,0
1,1,0,1677992061,44,0
1,1,0,1677992062,45,0
1,1,0,1677992062,46,0
1,1,0,1677992062,47,0
0,0,1,1677992062,48,0
1,1,0,1677992062,49,0
1,0,0,1677992063,50,0
1,0,0,1677992063,51,0
0,0,1,1677992063,52,0
1,1,0,1677992063,53,0
1,1,0,1677992063,54,0
1,0,0,1677992063,55,0
1,1,0,1677992064,56,0
1,0,0,1677992064,57,0
0,0,1,1677992064,58,0
0,0,1,1677992064,59,0
0,0,1,1677992064,60,0
1,1,0,1677992064,61,0
0,0,1,1677992065,62,0
1,1,0,1677992065,63,0
1,0,0,1677992065,64,0
1,1,0,1677992065,65,0
0,0,1,1677992065,66,0
1,1,0,1677992065,67,0
1,1,0,1677992066,68,0
1,0,0,1677992066,69,0
1,0,0,1677992066,70,0
1,0,0,1677992066,71,0
1,1,0,1677992066,72,0
1,0,0,1677992066,73,0
1,1,0,1677992067,74,0
1,1,0,1677992067,75,0
1,1,0,1677992067,76,0
1,1,0,1677992067,77,0
1,0,0,1677992067,78,0
1,0,0,1677992067,79,0
0,0,1,1677992068,80,0
1,0,0,1677992068,81,0
0,0,1,1677992068,82,0
0,0,1,1677992068,83,0
1,0,0,1677992068,84,0
1,1,0,1677992068,85,0
1,1,0,1677992069,86,0
1,1,0,1677992069,87,0
1,0,0,1677992069,88,0
1,1,0,1677992069,89,0
1,1,0,1677992069,90,0
0,0,1,1677992069,91,0
1,0,0,1677992070,92,0
0,0,1,1677992070,93,0
1,1,0,1677992070,94,0
1,1,0,1677992070,95,0
1,0,0,1677992070,96,0
0,0,1,1677992071,97,0
1,1,0,1677992071,98,0
1,1,0,1677992071,99,0
1,0,0,1677992071,100,0
0,0,1,1677992071,101,0
1,0,0,1677992071,102,0
0,0,1,1677992072,103,0
1,0,0,1677992072,104,0
1,1,0,1677992072,105,0
1,1,0,1677992072,106,0
1,0,0,1677992072,107,0
0,0,1,1677992072,108,0
1,0,0,1677992073,109,0
1,1,0,1677992073,110,0
1,1,0,1677992073,111,0
1,1,0,1677992073,112,0
1,1,0,1677992073,113,0
1,1,0,1677992073,114,0
1,0,0,1677992074,115,0
1,0,0,1677992074,116,0
1,0,0,1677992074,117,0
1,0,0,1677992074,118,0
0,0,1,1677992074,119,0
1,1,0,1677992074,120,0
1,1,0,1677992075,121,0
1,1,0,1677992075,122,0
1,0,0,1677992075,123,0
1,1,0,1677992075,124,0
0,0,1,1677992075,125,0
0,0,1,1677992075,126,0
1,1,0,1677992076,127,0
1,1,0,1677992076,128,0
1,1,0,1677992076,129,0
1,0,0,1677992076,130,0
1,0,0,1677992076,131,0
0,0,1,1677992076,132,0
0,0,1,1677992077,133,0
1,0,0,1677992077,134,0
1,1,0,1677992077,135,0
1,0,0,1677992077,136,0
0,0,1,1677992077,137,0
1,1,0,1677992077,138,0
0,0,1,1677992078,139,0
1,0,0,1677992078,140,0
1,1,0,1677992078,141,0
1,0,0,1677992078,142,0
